Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7n/2kV","C_1812_4532Metric",0.322835,0.885827,270.000000,top
"C2","4.7u","C_0603_1608Metric",0.460630,1.043307,0.000000,top
"C3","100n","C_0402_1005Metric",0.385827,0.519685,90.000000,top
"C4","100n","C_0402_1005Metric",0.385827,0.681102,90.000000,top
"C5","100n","C_0402_1005Metric",0.897638,0.681102,270.000000,top
"C6","100n","C_0402_1005Metric",0.901575,0.574803,270.000000,top
"C7","10u","C_0603_1608Metric",0.748031,1.043307,0.000000,top
"C8","1u","C_0603_1608Metric",0.944882,1.027559,180.000000,top
"C9","18p","C_0402_1005Metric",1.555118,0.511811,0.000000,top
"C10","18p","C_0402_1005Metric",1.535433,0.724409,180.000000,top
"C11","10n","C_0402_1005Metric",1.248031,1.055118,90.000000,top
"C12","100n","C_0402_1005Metric",0.905512,0.811024,90.000000,top
"C13","2.2u","C_0603_1608Metric",0.984252,0.803150,180.000000,top
"C14","10n","C_0402_1005Metric",1.248031,0.976378,90.000000,top
"C15","4.7u","C_0603_1608Metric",1.070866,0.917323,270.000000,top
"C16","100n","C_0402_1005Metric",1.413386,0.267717,270.000000,top
"C17","2.2u","C_0603_1608Metric",0.909449,0.291339,270.000000,top
"C18","10n","C_0402_1005Metric",1.248031,0.897638,270.000000,top
"C19","100n","C_0402_1005Metric",1.452756,0.267717,90.000000,top
"C20","100n","C_0402_1005Metric",1.330709,0.803150,180.000000,top
"C21","100n","C_0402_1005Metric",1.066929,0.818898,270.000000,top
"C22","100n","C_0402_1005Metric",0.980315,0.307087,90.000000,top
"C23","100n","C_0402_1005Metric",1.350394,0.228346,0.000000,top
"C24","100n","C_0402_1005Metric",1.696850,0.307087,180.000000,top
"C25","100n","C_0402_1005Metric",1.799213,0.307087,180.000000,top
"C26","100n","C_0402_1005Metric",1.696850,0.917323,180.000000,top
"C27","100n","C_0402_1005Metric",1.696850,0.775591,180.000000,top
"C28","100n","C_0402_1005Metric",1.685039,0.633858,180.000000,top
"C29","100n","C_0402_1005Metric",1.696850,0.492126,180.000000,top
"C30","100n","C_0402_1005Metric",1.681102,0.161417,180.000000,top
"C31","100n","C_0402_1005Metric",1.775591,0.917323,180.000000,top
"C32","100n","C_0402_1005Metric",1.791339,0.775591,180.000000,top
"C33","100n","C_0402_1005Metric",1.763780,0.633858,180.000000,top
"C34","100n","C_0402_1005Metric",1.795276,0.492126,180.000000,top
"C35","100n","C_0402_1005Metric",1.775591,0.161417,180.000000,top
"C36","100n","C_0402_1005Metric",2.125984,0.826772,0.000000,top
"C37","100n","C_0402_1005Metric",1.822835,1.055118,0.000000,top
"D2","MBR0530","D_SOD-123",1.460630,1.000000,90.000000,top
"D3","MBR0530","D_SOD-123",1.909449,1.000000,90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",0.084646,0.551181,270.000000,top
"Q1","IRLML2502","SOT-23",1.909449,0.346457,90.000000,top
"Q2","IRLML6402","SOT-23",1.397638,0.074803,0.000000,top
"R1","1M","R_1206_3216Metric",0.153543,0.814961,180.000000,top
"R2","22","R_0402_1005Metric",0.421260,0.177165,0.000000,top
"R3","5.1k","R_0402_1005Metric",0.314961,0.511811,90.000000,top
"R4","5.1k","R_0402_1005Metric",0.330709,0.578740,0.000000,top
"R5","22","R_0402_1005Metric",0.421260,0.279528,180.000000,top
"R6","22","R_0402_1005Metric",0.905512,0.393701,270.000000,top
"R7","22","R_0402_1005Metric",0.905512,0.476378,90.000000,top
"R8","51","R_0402_1005Metric",1.925197,0.255906,0.000000,top
"R9","5.1k","R_0402_1005Metric",2.023622,0.826772,180.000000,top
"R10","2.2","R_0402_1005Metric",1.047244,0.173228,270.000000,top
"RN1","470","R_Array_Concave_4x0603",1.263780,0.078740,180.000000,top
"RN2","10k","R_Array_Concave_4x0603",1.346457,0.988189,0.000000,top
"RN3","10k","R_Array_Concave_4x0603",1.165354,0.988189,0.000000,top
"RN4","10k","R_Array_Concave_4x0603",1.137795,0.078740,180.000000,top
"RN5","470","R_Array_Concave_4x0603",1.566929,0.822835,0.000000,top
"RN6","470","R_Array_Concave_4x0603",1.566929,0.102362,0.000000,top
"RN7","470","R_Array_Concave_4x0603",1.901575,0.814961,0.000000,top
