Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7n/2kV","C_1812_4532Metric",8.200000,22.500000,270.000000,top
"C2","4.7u","C_0603_1608Metric",11.700000,26.500000,0.000000,top
"C3","100n","C_0402_1005Metric",9.800000,13.200000,90.000000,top
"C4","100n","C_0402_1005Metric",9.800000,17.300000,90.000000,top
"C5","100n","C_0402_1005Metric",22.800000,17.300000,270.000000,top
"C6","100n","C_0402_1005Metric",22.900000,14.600000,270.000000,top
"C7","10u","C_0603_1608Metric",19.000000,26.500000,0.000000,top
"C8","1u","C_0603_1608Metric",24.000000,26.100000,180.000000,top
"C9","18p","C_0402_1005Metric",39.500000,13.000000,0.000000,top
"C10","18p","C_0402_1005Metric",39.000000,18.400000,180.000000,top
"C11","10n","C_0402_1005Metric",31.700000,26.800000,90.000000,top
"C12","100n","C_0402_1005Metric",23.000000,20.600000,90.000000,top
"C13","2.2u","C_0603_1608Metric",25.000000,20.400000,180.000000,top
"C14","10n","C_0402_1005Metric",31.700000,24.800000,90.000000,top
"C15","4.7u","C_0603_1608Metric",27.200000,23.300000,270.000000,top
"C16","100n","C_0402_1005Metric",35.900000,6.800000,270.000000,top
"C17","2.2u","C_0603_1608Metric",23.100000,7.400000,270.000000,top
"C18","10n","C_0402_1005Metric",31.700000,22.800000,270.000000,top
"C19","100n","C_0402_1005Metric",36.900000,6.800000,90.000000,top
"C20","100n","C_0402_1005Metric",33.800000,20.400000,180.000000,top
"C21","100n","C_0402_1005Metric",27.100000,20.800000,270.000000,top
"C22","100n","C_0402_1005Metric",24.900000,7.800000,90.000000,top
"C23","100n","C_0402_1005Metric",34.300000,5.800000,0.000000,top
"C24","100n","C_0402_1005Metric",43.100000,7.800000,180.000000,top
"C25","100n","C_0402_1005Metric",45.700000,7.800000,180.000000,top
"C26","100n","C_0402_1005Metric",43.100000,23.300000,180.000000,top
"C27","100n","C_0402_1005Metric",43.100000,19.700000,180.000000,top
"C28","100n","C_0402_1005Metric",42.800000,16.100000,180.000000,top
"C29","100n","C_0402_1005Metric",43.100000,12.500000,180.000000,top
"C30","100n","C_0402_1005Metric",42.700000,4.100000,180.000000,top
"C31","100n","C_0402_1005Metric",45.100000,23.300000,180.000000,top
"C32","100n","C_0402_1005Metric",45.500000,19.700000,180.000000,top
"C33","100n","C_0402_1005Metric",44.800000,16.100000,180.000000,top
"C34","100n","C_0402_1005Metric",45.600000,12.500000,180.000000,top
"C35","100n","C_0402_1005Metric",45.100000,4.100000,180.000000,top
"C36","100n","C_0402_1005Metric",54.000000,21.000000,0.000000,top
"C37","100n","C_0402_1005Metric",46.300000,26.800000,0.000000,top
"D2","MBR0530","D_SOD-123",37.100000,25.400000,90.000000,top
"D3","MBR0530","D_SOD-123",48.500000,25.400000,90.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",2.150000,14.000000,270.000000,top
"Q1","IRLML2502","SOT-23",48.500000,8.800000,90.000000,top
"Q2","IRLML6402","SOT-23",35.500000,1.900000,0.000000,top
"R1","1M","R_1206_3216Metric",3.900000,20.700000,180.000000,top
"R2","22","R_0402_1005Metric",10.700000,4.500000,0.000000,top
"R3","5.1k","R_0402_1005Metric",8.000000,13.000000,90.000000,top
"R4","5.1k","R_0402_1005Metric",8.400000,14.700000,0.000000,top
"R5","22","R_0402_1005Metric",10.700000,7.100000,180.000000,top
"R6","22","R_0402_1005Metric",23.000000,10.000000,270.000000,top
"R7","22","R_0402_1005Metric",23.000000,12.100000,90.000000,top
"R8","51","R_0402_1005Metric",48.900000,6.500000,0.000000,top
"R9","5.1k","R_0402_1005Metric",51.400000,21.000000,180.000000,top
"R10","2.2","R_0402_1005Metric",26.600000,4.400000,270.000000,top
"RN1","470","R_Array_Concave_4x0603",32.100000,2.000000,180.000000,top
"RN2","10k","R_Array_Concave_4x0603",34.200000,25.100000,0.000000,top
"RN3","10k","R_Array_Concave_4x0603",29.600000,25.100000,0.000000,top
"RN4","10k","R_Array_Concave_4x0603",28.900000,2.000000,180.000000,top
"RN5","470","R_Array_Concave_4x0603",39.800000,20.900000,0.000000,top
"RN6","470","R_Array_Concave_4x0603",39.800000,2.600000,0.000000,top
"RN7","470","R_Array_Concave_4x0603",48.300000,20.700000,0.000000,top
"RN8","100","R_Array_Concave_4x0603",48.300000,12.900000,180.000000,top
"RN9","220k","R_Array_Concave_4x0603",48.300000,16.800000,0.000000,top
"RN10","220k","R_Array_Concave_4x0603",47.900000,2.800000,0.000000,top
"U1","USBLC6-2SC6","SOT-23-6",7.800000,5.800000,180.000000,top
"U3","ADUM4160","SOIC-16W_7.5x10.3mm_P1.27mm",16.300000,13.500000,0.000000,top
"U4","LK112M33TR","SOT-23-5",24.400000,23.400000,0.000000,top
"U5","STM32F205RCTx","LQFP-64_10x10mm_P0.5mm",30.800000,13.100000,180.000000,top
"U6","74LVC2T45DC","VSSOP-8_2.3x2mm_P0.5mm",44.400000,6.000000,0.000000,top
"U7","74LVC2T45DC","VSSOP-8_2.3x2mm_P0.5mm",44.300000,21.500000,0.000000,top
"U8","74LVC2T45DC","VSSOP-8_2.3x2mm_P0.5mm",44.300000,17.900000,0.000000,top
"U9","74LVC2T45DC","VSSOP-8_2.3x2mm_P0.5mm",43.900000,14.300000,0.000000,top
"U10","74LVC2T45DC","VSSOP-8_2.3x2mm_P0.5mm",44.400000,10.700000,0.000000,top
"U11","74LVC2T45DC","VSSOP-8_2.3x2mm_P0.5mm",43.900000,2.300000,0.000000,top
"U12","MCP6002-xMS","VSSOP-8_3.0x3.0mm_P0.65mm",41.800000,25.700000,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",39.600000,15.700000,90.000000,top
